연도,지역,대학명,전형유형,전형명,계열,모집단위,반영영역,반영영역수,최저학력기준,평균등급,비고,변경/신설
2027,서울,가톨릭대,학생부교과,지역균형,공통,전 모집단위(자유전공/계열/약/의/간 제외),"국,수,영,탐 중",2,2개 영역 등급 합 7 이내,,,
2027,서울,가톨릭대,학생부교과,지역균형,공통,"자유전공학부, 인문사회계열, 자연공학계열","국,수,영,탐 중",2,2개 영역 등급 합 6 이내,,,변경
2027,서울,가톨릭대,학생부교과,지역균형,의약,약학과,"국,수,영,탐 중",3,3개 영역 등급 합 5 이내,,,
2027,서울,가톨릭대,학생부교과,지역균형,의약,의예과,"국,수,영,탐+한국사",4,4개 영역 등급 합 5 이내 및 한국사 4등급 이내,,,
2027,서울,가톨릭대,학생부교과,지역균형,의약,간호학과,"국,수,영,탐 중",3,3개 영역 등급 합 7 이내,,,
2027,서울,가톨릭대,학생부종합,학교장추천,의약,"약학과, 의예과","국,수,영,탐 중 (의예한국사 포함)",3,약학과 3개영역 합 5 / 의예과 3개영역 합 4 및 한국사 4등급 이내,,세부기준 자료집 참고,
2027,서울,가톨릭대,학생부종합,기회균형Ⅱ,의약,약학과,"국,수,영,과탐 중",3,약학과 3개영역 합 7 이내 (그 외 모집단위 없음),,세부기준 자료집 참고,
2027,서울,가톨릭대,논술,논술전형,의약,"약학과, 의예과, 간호학과","국,수,영,탐 중 (의예한국사 포함)",3,약학과 3개영역 합 5 / 의예과 3개영역 합 4+한국사4 / 간호학과 3개영역 합 7,,세부기준 자료집 참고,
2027,서울,건국대,논술,KU논술우수자,공통,전 모집단위,"국,수,영,사/과탐(1과목) 중 (한국사 포함)",2,"인문·자연 2개영역 합 5 / 수의예과 3개영역 합 4, 모두 한국사 5등급 이내",,세부기준 모집요강 참고,
2026,강원,강원대,학생부교과,일반교과전형,공통,일부 모집단위(의/약/수/간호등),,,수능최저학력기준 적용,,세부기준 모집요강 참고,
2026,강원,강원대,학생부종합,미래인재면접전형,의약/사범,의예·약학·사범대 등 일부,,,수능최저학력기준 적용,,세부기준 모집요강 참고,
2027,서울,경희대,학생부교과,지역균형,공통,전 모집단위,"국,수,영,탐 중",2,"인문/자연·자율전공 2개 영역 합 5 / 의·한·치·약 3개 영역 합 4, 모두 한국사 5등급 이내 (예체능 1개영역 3등급·한국사 미반영)",,세부기준 모집요강 참고,
2027,서울,경희대,논술,논술우수자,공통,일부 모집단위,"국,수,영,탐 중",2,"인문/자연·자율전공 2개 영역 합 5 / 의·한·치·약 3개 영역 합 4, 모두 한국사 5등급 이내 (체육 1개영역 3등급·한국사 미반영)",,세부기준 모집요강 참고,
2027,서울,광운대,학생부교과,지역균형,공통,전 모집단위,해당없음,,없음 (수능최저학력기준 미적용),,광운대는 전 전형 수능최저 없음,
2027,서울,광운대,논술,논술우수자,공통,전 모집단위,해당없음,,없음 (수능최저학력기준 미적용),,광운대는 전 전형 수능최저 없음,
2027,서울,동국대,논술,논술,자연,자연계열,국/수/영/탐(수학 또는 과탐 1개 이상 포함),2,2개 영역 등급 합 5 이내 (한국사 4등급 이내),,인문계열 미적용,
2027,서울,동국대,논술,논술,의약,약학과,국/수/영/탐(수학 또는 과탐 포함),3,3개 영역 등급 합 4 이내 (한국사 4등급 이내),,,
2027,서울,동국대,논술,논술,자연,"컴퓨터·AI학부(자연), 경찰행정학부(자연)",국/수/영/탐 중,2,2개 영역 등급 합 4 이내 (한국사 4등급 이내),,"계열·모집단위별 상이, 모집요강 참고",
2027,서울,덕성여대,논술,논술전형,의약 외,글로벌융합·과학기술·미래인재대학,국/수/영/탐(상위1),2,2개 영역 등급 합 7 이내,,,
2027,서울,덕성여대,논술,논술전형,의약,약학대학(약학과),"국/수/영/탐(과탐 상위1, 수학 포함)",3,수학 포함 3개 영역 등급 합 5 이내,,,
2027,서울,강서대,학생부교과,일반학생전형,자연,간호학과,"국,수,영,탐[사/과 중 1과목] 중",2,2개 영역 등급 합 8 이내 (탐구 상위 1과목만 반영),,간호학과만 수능최저 적용,신설
2027,서울,강서대,학생부교과,사회통합전형,자연,간호학과,"국,수,영,탐[사/과 중 1과목] 중",2,2개 영역 등급 합 8 이내 (탐구 상위 1과목만 반영),,간호학과만 수능최저 적용,
2027,서울,강서대,학생부교과,농어촌학생전형(정원외),자연,간호학과,"국,수,영,탐[사/과 중 1과목] 중",2,2개 영역 등급 합 8 이내 (탐구 상위 1과목만 반영),,간호학과만 수능최저 적용,
2027,서울,강서대,학생부교과,기회균등할당제전형(정원외),자연,간호학과,"국,수,영,탐[사/과 중 1과목] 중",2,2개 영역 등급 합 8 이내 (탐구 상위 1과목만 반영),,간호학과만 수능최저 적용,
2027,서울,국민대,학생부교과,교과우수자(학교장추천),공통,전 모집단위,"국,수,영,탐 중",2,"인문 2개 영역 합 6 / 자연 2개 영역 합 6 (자연은 과탐 포함, 탐구 상위 1과목 반영)",,한국사 응시 필수(최저반영 안함),
2027,서울,국민대,논술,논술전형,공통,전 모집단위,"국,수,영,탐 중",2,"인문 2개 영역 합 6 / 자연 2개 영역 합 6 (자연은 과탐 포함, 탐구 상위 1과목 반영)",,한국사 응시 필수(최저반영 안함),
2027,서울,삼육대,학생부교과/종합/논술,전 전형(약학과),의약,약학과,"국,영,수(미적분/기하),과탐(1과목) 중",3,3개 영역 등급 합 5 이내,,약학과만 수능최저 적용 (일반학과는 교과·종합·논술 모두 없음),약학과 국영수과 중 3개 합 5
2027,서울,성신여대,학생부교과,지역균형,공통,전 모집단위,"국,수,영,탐 4개 중",2,2개 영역 등급 합 7 이내 (탐구 선택 시 상위 1과목 반영),,지역균형·논술우수자만 수능최저 적용,
2027,서울,성신여대,논술,논술우수자,공통,전 모집단위,"국,수,영,탐 4개 중",2,2개 영역 등급 합 7 이내 (탐구 선택 시 상위 1과목 반영),,지역균형·논술우수자만 수능최저 적용,
2027,서울,세종대,학생부교과,지역균형,공통,자유전공학부·인문계열,"국,수,영,탐(사/과 1과목) 중",2,2개 영역 등급 합 5 이내,,지역균형만 수능최저 적용(종합·논술 없음),
2027,서울,세종대,학생부교과,지역균형,자연,자연계열,"국,수,영,탐(사/과 1과목) 중",2,2개 영역 등급 합 6 이내,,지역균형만 수능최저 적용(종합·논술 없음),
2027,인천,인천대,학생부교과,교과성적우수자,공통,전 모집단위(동북아국제통상전공 제외),"국,수,영,탐(상위 1과목) 중",2,2개 영역 등급 합 7 이내,,동북아국제통상전공은 2개 합 6 이내,유지
2027,인천,인천대,학생부교과,지역균형,공통,전 모집단위,"국,수,영,탐(상위 1과목) 중",2,2개 영역 등급 합 7 이내,,학교장 추천 필요,유지
2027,서울,중앙대,학생부교과,지역균형,공통,인문/자연 모집단위(약학·의학 제외),"국,수,영,탐(상위 1과목) 중",3,3개 영역 등급 합 6 이내,,"한국사 4등급 이내, 영어 1·2등급 통합 / 다빈치캠 미적용",유지
2027,서울,중앙대,학생부교과,지역균형,자연,약학부,"국,수,영,탐(상위 1과목) 중",4,4개 영역 등급 합 5 이내,,"한국사 4등급 이내, 영어 1·2등급 통합",유지
2027,서울,중앙대,학생부교과,지역균형,자연,의학부,"국,수,영,탐(2과목 평균)",4,4개 영역 등급 합 5 이내,,"탐구 2과목 평균, 한국사 4등급 이내, 영어 1·2등급 통합",유지
2027,서울,한국외대,학생부교과,학교장추천,공통,서울캐퍼스 전 모집단위,"국,수,영,탐(사/과 1과목) 중",2,2개 영역 등급 합 4 이내,,한국사 4등급 이내,유지
2027,경기,한국외대,학생부교과,학교장추천,공통,글로벌(용인)캐퍼스 전 모집단위,"국,수,영,탐(사/과 1과목) 중",1,1개 영역 등급 3 이내,,한국사 4등급 이내,유지
2027,서울,연세대,학생부교과,추천형,인문,인문계열,"국,수,탐 중",2,국/수 중 1과목 포함 2과목 등급 합 4 이내,,"영어 3등급·한국사 4등급 이내, 탐구 과목별 등급",유지
2027,서울,연세대,학생부교과,추천형,자연,자연계열(일반),"국,수,탐 중",2,수학 포함 2과목 등급 합 5 이내,,"영어 3등급·한국사 4등급 이내, 탐구 과학만 과목별 등급",유지
2027,서울,연세대,학생부교과,추천형,자연,의예·치의예·약학과,"국,수,탐 중",2,국/수 중 1과목 포함 1등급 2개 이상,,"영어 3등급·한국사 4등급 이내, 탐구 과학만",유지
2027,서울,한성대,학생부교과,교과우수,공통,주간 전 모집단위,"국,수,영,탐(사/과 1과목) 중",2,2개 영역 등급 합 7 이내,,제2외국어/한문을 탐구 과목으로 대체 가능,유지
2027,서울,한성대,학생부교과,교과우수,공통,야간 전 모집단위,"국,수,영,탐(사/과 1과목) 중",2,2개 영역 등급 합 8 이내,,지역균형은 수능최저 미적용,유지
2027,경기,경기대,학생부교과,교과성적우수자,공통,전 모집단위,"국,수,영,탐(상위 1과목)",2,상위 2개 영역 등급 합 7 이내,,"영어 1·2등급 통합, 한국사 6등급 이내(응시 필수) / 학교장추천은 미적용",유지
2027,경기,수원대,학생부교과,고교추천,공통,전 모집단위,"국,수,영,탐(1과목) 중",1,1개 영역 4등급 이내,,,유지
2027,경기,수원대,학생부교과,교과우수,공통,전 모집단위(간호 별도),"국,수,영,탐(1과목) 중",2,2개 영역 등급 합 7 이내,,간호학과는 별도 기준 적용,유지
2027,경기,아주대,학생부교과,고교추천전형,공통,전 모집단위(의학과 제외),"국,수,영,탐(1과목) 중",2,2개 영역 등급 합 5 이내,,탐구 2과목만으로는 충족 불가,유지
2027,경기,아주대,학생부교과,고교추천전형,자연,의학과,"국,수,영,탐(2과목 평균)",4,등급 합 6 이내,,탐구는 2과목 평균등급 반영,유지
2026,대전,을지대,학생부교과,지역균형(학교장추천),자연,의예과(대전),"국,수,영,탐(과탐 2과목 평균)",3,3개 영역 등급 합 5 이내,,"과탐 필수 포함(생명과학 Ⅰ/Ⅱ 1과목 이상), 의예과만 적용 / 그 외 모집단위는 수능최저 없음. 출처: 2026 을지대 수시 입결",유지
2027,서울,고려대,학생부교과,학교추천,공통,전체(의학과 제외),"국,수,영,탐 중",3,3개 영역 등급 합 7 이내,,"한국사 4등급 이내, 탐구 1과목 반영",
2027,서울,고려대,학생부교과,학교추천,자연,의학과,"국,수,영,탐",4,4개 영역 등급 합 5 이내,,"한국사 4등급 이내, 탐구 1과목 반영",
2027,서울,고려대,학생부종합,학업우수,공통,전체(의학과 제외),"국,수,영,탐",4,4개 영역 등급 합 8 이내,,"한국사 4등급 이내, 탐구 1과목 반영",
2027,서울,고려대,학생부종합,학업우수,자연,의학과,"국,수,영,탐",4,4개 영역 등급 합 5 이내,,"한국사 4등급 이내, 탐구 1과목 반영",
2027,서울,고려대,논술,논술,공통,전체(의학과 제외),"국,수,영,탐",4,4개 영역 등급 합 8 이내,,"한국사 4등급 이내, 탐구 1과목 반영",
2027,서울,고려대,실기/실적,특기자,예체능,디자인조형학부,"국,수,영,탐 중",3,3개 영역 등급 합 8 이내,,"한국사 4등급 이내, 탐구 1과목 반영",
2027,서울,가톨릭대,학생부교과,농어촌학생,의약,약학과,"국,수,영,과탐 중",3,3개 영역 등급 합 7 이내,,"정원외, 탐구 1과목 반영",
2027,서울,강서대,학생부교과,일반학생,자연,간호학과,"국,수,영,탐 중",2,2개 영역 등급 합 8 이내,,탐구 1과목 반영,
2027,서울,강서대,학생부교과,사회통합,자연,간호학과,"국,수,영,탐 중",2,2개 영역 등급 합 8 이내,,탐구 1과목 반영,
2027,서울,강서대,학생부교과,농어촌학생,자연,간호학과,"국,수,영,탐 중",2,2개 영역 등급 합 8 이내,,"정원외, 탐구 1과목 반영",
2027,서울,강서대,학생부교과,기회균등할당제,자연,간호학과,"국,수,영,탐 중",2,2개 영역 등급 합 8 이내,,"정원외, 탐구 1과목 반영",
2027,서울,건국대,논술,KU논술우수자,인문,인문계열 모집단위,"국,수,영,탐 중",2,2개 영역 등급 합 5 이내,,"한국사 5등급, 탐구 1과목 반영",
2027,서울,건국대,논술,KU논술우수자,자연,자연계열 모집단위(수의예과 제외)·KU자유전공학부,"국,수,영,탐 중",2,2개 영역 등급 합 5 이내,,"한국사 5등급, 탐구 1과목 반영",
2027,서울,건국대,논술,KU논술우수자,자연,수의예과,"국,수,영,탐 중",3,3개 영역 등급 합 4 이내,,"한국사 5등급, 탐구 1과목 반영",
2027,경기,경기대,학생부교과,교과성적우수자,공통,전 모집단위,"국,수,영,탐(상위 1과목)",2,상위 2개 영역 등급 합 7 이내,,"한국사 6등급, 영어 1·2등급 통합",
2027,대구,경북대,학생부교과·논술,교과우수자·지역인재·논술(AAT),자연,IT대학·AI대학,"국,수,영,탐 중(수학 포함)",2,수학 포함 2개 영역 등급 합 5 이내,,"한국사 응시, 탐구 상위 1과목",
2027,대구,경북대,학생부교과·논술,교과우수자·지역인재·논술(AAT),공통,경상·간호·사범대·행정학부·자율전공학부,"국,수,영,탐 중",2,상위 2개 영역 등급 합 5 이내,,"한국사 응시, 탐구 상위 1과목",
2027,대구,경북대,학생부교과·논술,교과우수자·지역인재·논술(AAT),자연,공과대학·첨단기술융합대학·공학첨단자율학부,"국,수,영,탐 중(수학 포함)",2,수학 포함 2개 영역 등급 합 6 이내,,"한국사 응시, 탐구 상위 1과목",
2027,대구,경북대,학생부교과·논술,교과우수자·지역인재·논술(AAT),공통,인문·사회과학·자연과학·농업생명·생활과학대학,"국,수,영,탐 중",2,상위 2개 영역 등급 합 6 이내,,"한국사 응시, 탐구 상위 1과목",
2027,대구,경북대,교과·종합·논술,교과우수·지역인재·일반학생·논술 등,자연,의예과·치의예과,"국,수,영,탐(2과목)",3,수학 포함 3개 영역 등급 합 4 이내,,"한국사 응시, 탐구 2과목 평균",
2027,대구,경북대,교과·종합·논술,교과우수·지역인재·일반학생·논술 등,자연,수의예과·약학과,"국,수,영,탐(2과목)",3,수학 포함 3개 영역 등급 합 5 이내,,"한국사 응시, 탐구 2과목 평균",
2027,대구,경북대,학생부교과·종합,지역인재 기초생활·종합 일반학생,공통,일반학과 해당 모집단위,"국,수,영,탐 중",,위 일반학과 기준에서 등급 합 1등급 하향 적용,,계열·모집단위별 상이,
2027,대구,경북대,학생부종합·논술,모바일과학인재·논술(AAT),자연,전자공학부 모바일AI공학전공,"국,수,영,과탐(2과목)",2,수학(미적분/기하)+과탐 등급 합 3 이내,,"한국사 응시, 과탐 2과목 평균",
2027,대구,경북대,학생부종합,지역의사선발·농어촌·지역인재기초(의약),자연,의예·치의예·약학과(전형별 해당),"국,수,영,탐(2과목)",3,의약 기준에서 등급 합 1등급 하향 적용,,"한국사 응시, 탐구 2과목 평균",
2027,대구,경북대,실기,실기전형,예체능,미술학과·디자인학과,"국,영,탐 중",1,상위 1개 영역 4등급 이내,,"한국사 응시, 탐구 1과목",
2027,인천,경인교대,학생부교과,학교장추천,공통,초등교육과,"국,수,영,탐",4,4개 영역 등급 합 14 이내,,"탐구 상위 1과목, 한국사 응시필수",
2027,서울,경희대,학생부교과·논술,지역균형·논술우수자,공통,인문/자연·자율전공(의약학 제외),"국,수,영,탐(2과목) 중",2,2개 영역 등급 합 5 이내,,"한국사 5등급, 탐구 2과목 평균",
2027,서울,경희대,학생부교과·종합·논술,지역균형·네오르네상스·논술우수자,자연,의예·한의예·치의예·약학과,"국,수,영,탐(2과목) 중",3,3개 영역 등급 합 4 이내,,"한국사 5등급, 탐구 2과목 평균",
2027,서울,경희대,학생부교과·논술,지역균형·논술우수자,예체능,예술·체육 모집단위,"국,수,영,탐 중",1,1개 영역 이상 3등급 이내,,한국사 미반영,
2027,충남,공주대,학생부교과,일반·자율전공·지역인재,공통,수학교육과,"국,수,영,탐 중(수학 포함)",2,수학 포함 상위 2개 영역 합 7 이내,,확률과통계 응시자는 합 4 이내,
2027,충남,공주대,학생부교과,일반·자율전공·지역인재,공통,인문사회과학대·간호학과,"국,수,영,탐 중",2,상위 2개 영역 합 7 이내,,,
2027,충남,공주대,학생부교과,일반·자율전공·지역인재,자연,자연과학·예술·천안공과·간호보건대(간호 제외),"국,수,영,탐 중",2,상위 2개 영역 합 9~10 이내,,,
2027,충남,공주대,학생부교과,일반·자율전공·지역인재,공통,산업과학대·국제·인공지능·자율전공학부,"국,수,영,탐 중",2,상위 2개 영역 합 10~11 이내,,,
2027,서울,국민대,학생부교과·논술,교과우수자(학교장추천)·논술,공통,전 모집단위,"국,수,영,탐 중",2,2개 영역 등급 합 6 이내,,"탐구 상위 1과목, 한국사 응시필수(미반영)",
2027,서울,덕성여대,학생부교과·논술,고교추천·논술,공통,글로벌융합대학·과학기술대학,"국,수,영,탐 중",2,2개 영역 등급 합 7 이내,,"영어→제2외국어/한문 대체 가능, 탐구 상위 1과목",
2027,서울,덕성여대,학생부교과·논술,고교추천·논술,자연,미래인재대학·약학대학,"국,수,영,탐 중(수학 포함)",3,수학 포함 3개 영역 등급 합 5 이내,,영어·사탐은 상위 1개 영역만 적용,
2027,서울,동국대,논술,논술,인문,인문계열,국/수/영/탐 중,2,2개 영역 등급 합 5 이내 (한국사 4등급 이내),,탐구 상위 1과목 반영,
2027,서울,동덕여대,학생부교과,학생부교과우수자,공통,전 모집단위(약학과 제외),"국,영,수,탐 중",2,2개 영역 등급 합 6 이내,,탐구 상위 1과목,
2027,서울,동덕여대,학생부교과,학생부교과우수자,자연,약학과,"국,수,탐",3,3개 영역 등급 합 6 이내,,"영어 미반영, 탐구 2과목 중 상위 1",
2027,서울,동덕여대,논술,논술우수자,공통,전 모집단위,"국,영,수,탐 중",2,2개 영역 등급 합 6 이내,,탐구 상위 1과목,
2027,부산,부산대,학생부교과·논술,교과·지역인재·논술,공통,대부분 모집단위(경영·생명자원·의약 제외),"국,수,영,탐 중",2,2개 영역 등급 합 5 이내,,"한국사 4등급, 탐구 상위 1과목",
2027,부산,부산대,학생부교과·논술,교과·지역인재·논술,인문,경영대학(경영학과),"국,수,영,탐 중",3,3개 영역 등급 합 7 이내,,한국사 4등급,
2027,부산,부산대,학생부교과·논술,교과·지역인재·논술,자연,식품영양·생명자원과학대학 일부,"국,수,영,탐 중",2,2개 영역 등급 합 6 이내,,한국사 4등급,
2027,부산,부산대,학생부교과·논술,교과·지역인재·논술,자연,약학부·의예과·치의예과,"국,수,영,탐 중(수학포함)",3,수학 포함 3개 영역 등급 합 4 이내,,한국사 4등급,
2027,부산,부산대,학생부종합,종합·지역인재 등,자연,간호학과,"국,수,영,탐 중(수학포함)",2,수학 포함 2개 영역 등급 합 6 이내,,"한국사 4등급, 과탐 1과목 이상 필수",
2027,부산,부산대,학생부종합,종합·지역인재 등,자연,약학부,"국,수,영,탐 중(수학포함)",3,수학 포함 3개 영역 합 5(지역·저소득 6) 이내,,한국사 4등급,
2027,부산,부산대,학생부종합,종합·지역인재·지역의사,자연,의예과,"국,수,영,탐 중(수학포함)",3,수학 포함 3개 영역 합 4(지역인재 5) 이내,,"한국사 4등급, 탐구 2과목 평균",
2027,부산,부산대,학생부종합,종합·지역인재,자연,치의예과,"국,수,영,탐 중(수학포함)",3,수학 포함 3개 영역 등급 합 5 이내,,"한국사 4등급, 탐구 2과목 평균",
2027,부산,부산대,실기/실적,실기전형,예체능,체육교육과,"국,수,영,탐 중",2,상위 2개 영역 등급 합 6 이내,,한국사 4등급,
2027,부산,부산대,실기/실적,실기전형,예체능,조형학과·디자인학과(애니메이션),"국,수,영,탐 중",2,상위 2개 영역 등급 합 10 이내,,한국사 4등급,
2027,서울,서강대,학생부교과,지역균형,공통,전체,"국어, 수학, 영어, 탐구(1과목) 중",3,4개 영역 중 3개 영역 각 3등급 이내,,한국사 4등급 이내,
2027,서울,서강대,논술,논술(일반),공통,전체,"국어, 수학, 영어, 탐구(1과목) 중",3,4개 영역 중 3개 영역 등급 합 7 이내,,한국사 4등급 이내,
2027,서울,서경대,학생부교과,교과균형,공통,전체,"국어, 수학, 영어, 탐구(1과목) 중",2,4개 영역 중 2개 영역 등급 합 8 이내,,,
2027,서울,서경대,학생부교과,기회균형①,공통,국가보훈/기초생활/차상위/한부모,"국어, 수학, 영어, 탐구(1과목) 중",2,4개 영역 중 2개 영역 등급 합 9 이내,,,
2027,서울,서울과기대,학생부교과,고교추천,공통,전 모집단위,"국어, 수학, 영어, 탐구(1과목) 중",2,2개 영역 합 7등급 이내,,선택과목 제한 없음,
2027,서울,서울교대,학생부교과,학교장추천,공통,초등교육과,"국어, 수학, 영어, 탐구(사/과) 중",2,2개 영역 합 6등급 이내,,한국사 4등급 이내,
2027,서울,서울교대,학생부종합,교직인성우수자,공통,초등교육과,"국어, 수학, 영어, 탐구(사/과) 중",2,2개 영역 합 6등급 이내,,한국사 4등급 이내,
2027,서울,서울교대,학생부종합,기회균형Ⅰ(국가보훈),공통,초등교육과,"국어, 수학, 영어, 탐구(사/과) 중",2,2개 영역 합 8등급 이내,,한국사 4등급 이내,
2027,서울,서울교대,학생부종합,기회균형Ⅰ(농어촌),공통,초등교육과,"국어, 수학, 영어, 탐구(사/과) 중",2,2개 영역 합 8등급 이내,,한국사 4등급 이내,
2027,서울,서울교대,학생부종합,기회균형Ⅱ(기초생활등),공통,초등교육과,"국어, 수학, 영어, 탐구(사/과) 중",2,2개 영역 합 8등급 이내,,한국사 4등급 이내,
2027,서울,서울교대,학생부종합,기회균형Ⅱ(장애인등),공통,초등교육과,"국어, 수학, 영어, 탐구(사/과) 중",2,2개 영역 합 8등급 이내,,한국사 4등급 이내,
2027,서울,서울교대,기타,북한이탈학생전형,공통,초등교육과,"국어, 수학, 영어, 탐구(사/과) 중",2,2개 영역 합 8등급 이내,,한국사 4등급 이내,
2027,서울,서울대,학생부종합,지역균형전형,공통,전 모집단위,"국어, 수학, 영어, 탐구 중",3,4개 영역 중 3개 영역 등급 합 7등급 이내,,탐구 2과목 등급 평균 반영,
2027,서울,서울대,학생부종합,일반전형,예체능,미술대학 디자인과,"국어, 수학, 영어, 탐구 중",3,4개 영역 중 3개 영역 등급 합 7등급 이내,,일반전형 중 미술대 디자인과만 적용,
2027,서울,서울시립대,학생부교과,고교추천전형,공통,전 모집단위,"국어, 수학, 영어, 탐구(사/과 상위 1과목) 중",3,3개 영역 등급합 8 이내,,한국사 4등급 이내,
2027,서울,서울여대,학생부교과,교과우수자전형,공통,전 모집단위,"국어, 수학, 영어, 탐구(상위 1과목) 중",2,4개 영역 중 2개 영역 합 7등급 이내,,직업탐구·제2외국어/한문 미반영,
2027,서울,성균관대,학생부종합,융합인재,공통,전 모집단위,"국어, 수학, 영어, 탐구(2과목 평균) 중",3,4개 중 3개 등급합 6 이내,,,
2027,서울,성균관대,학생부교과,추천인재,인문/자연,인문·사회·경영·사범·자연·공학계열 등,"국어, 수학, 영어, 탐구(2과목 평균) 중",3,4개 중 3개 등급합 7 이내,,,
2027,서울,성균관대,학생부교과,추천인재,인기학과,자유전공·글로벌·전자전기·컴퓨터·반도체·에너지·바이오 등,"국어, 수학, 영어, 탐구(2과목 평균) 중",3,4개 중 3개 등급합 6 이내,,,
2027,서울,성균관대,논술,논술(언어/수리형),인문/자연,글로AI·인문·사회·경영·자연·공학계열 등,"국어, 수학, 영어, 탐구(2과목 평균) 중",3,4개 중 3개 등급합 6 이내,,,
