code,eng1,eng2,eng3,eng4,eng5,eng6,eng7,eng8,eng9,area1,area2,area3,area4,ratio1,ratio2,ratio3,ratio4
가야대1,,,,,,,,,,국수영_1,국수영_2,탐(1),,44.44,44.44,11.11,
가천대1,98,95,92,86,80,60,50,40,30,국,수,영,탐(2),25,30,20,25
가천대2,98,95,92,86,80,60,50,40,30,국수영_1,국수영_2,국수영_3,탐(1),35,25,20,20
가천대3,98,95,92,86,80,60,50,40,30,국,영,,,50,50,,
가천대4,,,,,,,,,,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,50,30,20,
가톨릭관동대1,,,,,,,,,,국수탐(2)_1,국수탐(2)_2,영,,50,50,,
가톨릭관동대2,,,,,,,,,,국,수,영,탐(2),25,37.5,,37.5
가톨릭관동대3,,,,,,,,,,국,수,영,탐(2),28.57,42.86,,28.57
가톨릭관동대4,,,,,,,,,,국수탐(2)_1,국수탐(2)_2,영,,50,50,,
가톨릭관동대5,,,,,,,,,,국수탐(2)_1,국수탐(2)_2,영,,50,50,,
가톨릭꽃동네대1,95,84.5,74.5,64.5,54.5,44.5,34.5,24.5,9.5,국수_1,영,탐(2),,30,30,40,
가톨릭대1,,,,,,,,,,국,수,탐(2),,30,40,30,
가톨릭대2,,,,,,,,,,국,수,탐(2),,30,40,30,
가톨릭대3,,,,,,,,,,국,수,탐(2),,30,40,30,
가톨릭대4,100,97.5,95,92.5,90,87.5,85,80,70,국,수,영,탐(1),30,30,20,20
가톨릭대5,,,,,,,,,,국수_1,탐(1),,,50,50,,
감리교신학대1,95,85,75,65,55,45,35,25,15,국,영,탐(1),,40,40,20,
강남대1,100,95,90,80,70,50,30,10,0,국,수,영,탐(1),35,25,20,20
강남대2,100,95,90,80,70,50,30,10,0,국,수,영,탐(1),25,35,20,20
강남대3,100,95,90,80,70,50,30,10,0,국수_1,국수_2,영,탐(1),40,20,20,20
강릉원주대1,100,95,90,85,77.5,70,62.5,55,40,국,수,영,탐(2),20,35,20,25
강릉원주대2,100,97,94,91,81,78,75,72,0,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
강릉원주대3,100,97,94,91,81,78,75,72,0,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
강서대1,,,,,,,,,,국,수,탐(1),,40,30,30,
강서대2,,,,,,,,,,국,수,탐(1),,30,40,30,
강서대3,,,,,,,,,,국,수,탐(1),,30,40,30,
강원대(삼척)1,100,97,94,91,81,78,75,72,0,국수영탐(2)_1,국수영탐(2)_2,,,50,50,,
강원대(삼척)2,100,97,94,91,81,78,75,72,0,국수영탐(2)_1,국수영탐(2)_2,,,50,50,,
강원대1,100,97,94,91,81,78,75,72,0,국,수,영,탐(2),30,20,30,20
강원대2,100,97,94,91,81,78,75,72,0,국,수,영,탐(2),20,30,20,30
강원대3,100,97,94,91,81,78,75,72,0,국,수,영,탐(2),20,30,20,30
강원대4,100,97,94,91,81,78,75,72,0,수영_1,국,탐(2),,33.33,33.33,33.33,
강원대5,100,97,94,91,81,78,75,72,0,수영_1,국,,,50,50,,
건국대(글로컬)1,,,,,,,,,,국,수,영,탐(2),25,37.5,,37.5
건국대(글로컬)2,95,90,85,80,75,40,30,20,0,국수영탐(1)_1,국수영탐(1)_2,,,50,50,,
건국대(글로컬)3,95,90,85,80,75,40,30,20,0,국수영탐(1)_1,국수영탐(1)_2,,,50,50,,
건국대1,,,,,,,,,,국,수,영,탐(2),44.44,33.33,,22.22
건국대2,,,,,,,,,,국,수,영,탐(2),33.33,44.44,,22.22
건국대3,,,,,,,,,,수탐(2)_1,국,영,,40,60,,
건양대1,100,98,96,94,92,90,88,86,84,국,수,영,탐(2),20,30,20,30
건양대2,100,98,96,94,92,90,88,86,84,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
건양대3,100,98,96,94,92,90,88,86,84,국수영탐(1)_1,국수영탐(1)_2,,,50,50,,
건양대4,100,95,90,85,80,75,70,65,60,국수영탐(1)_1,국수영탐(1)_2,,,50,50,,
경기대1,100,98,94,86,70,50,30,10,0,국,수,영,탐(1),30,35,20,15
경기대2,100,98,94,86,70,50,30,10,0,국,수,영,탐(1),35,30,20,15
경기대3,100,98,94,86,70,50,30,10,0,국수탐(1)_1,국수탐(1)_2,영,,35,35,30,
경남대1,100,95,90,85,80,75,70,65,60,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
경남대2,100,97,92,85,76,50,30,10,5,국,수,영,탐(1),25,25,25,25
경남대3,100,97,92,85,76,50,30,10,5,국,수,영,탐(1),25,25,25,25
경동대1,,,,,,,,,,국,수,영,탐(1),33.33,33.33,,33.33
경북대1,,,,,,,,,,국,수,영,탐(2),42.86,28.57,,28.57
경북대2,,,,,,,,,,국,수,영,탐(2),28.57,42.86,,28.57
경북대3,,,,,,,,,,국,영,탐(2),,50,,50,
경북대4,,,,,,,,,,국,영,탐(2),,50,,50,
경북대5,,,,,,,,,,국,수,영,탐(2),42.86,28.57,,28.57
경북대6,,,,,,,,,,국,영,탐(2),,50,,50,
경북대7,,,,,,,,,,국,수,영,탐(2),28.57,42.86,,28.57
경북대8,,,,,,,,,,국,수,영,탐(2),35.71,35.71,,28.57
경북대9,,,,,,,,,,수,영,탐(2),,66.67,,33.33,
경상국립대1,,,,,,,,,,국,수,영,탐(2),37.5,31.25,,31.25
경상국립대2,,,,,,,,,,국,수,영,탐(2),31.25,37.5,,31.25
경상국립대3,,,,,,,,,,국,영,탐(2),,57.14,,42.86,
경상국립대5,,,,,,,,,,국,영,탐(2),,57.14,,42.86,
경상국립대4,,,,,,,,,,국,영,탐(2),,57.14,,42.86,
경성대1,,,,,,,,,,국,수,영,탐(2),33.33,33.33,,33.33
경성대2,,,,,,,,,,국,수,영,탐(2),31.25,37.5,,31.25
경성대3,,,,,,,,,,국수영탐(2)_1,국수영탐(2)_2,,,50,50,,
경운대1,100,96,89,77,60,40,23,11,7,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
경인교대1,100,95,90,0,0,0,0,0,0,국,수,영,탐(2),25,25,25,25
경일대1,100,95,90,86,82,78,75,72,69,국,수,영,탐(1),25,25,25,25
경일대2,100,95,90,86,82,78,75,72,69,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
경희대1,,,,,,,,,,국,수,탐(2),,40,25,35,
경희대2,,,,,,,,,,국,수,탐(2),,35,35,30,
경희대3,,,,,,,,,,국,수,탐(2),,25,40,35,
경희대4,,,,,,,,,,국,수,탐(2),,25,40,35,
경희대5,,,,,,,,,,국,탐(1),,,60,40,,
경희대6,,,,,,,,,,국,탐(1),,,60,40,,
계명대1,100,98,94,90,86,82,78,74,60,국,수,영,탐(2),25,25,25,25
계명대2,100,98,94,90,86,82,78,74,60,국,수,영,탐(2),25,25,25,25
계명대3,100,98,94,90,86,82,78,74,60,국수_1,영,탐(2),,40,30,30,
계명대4,100,98,94,90,86,82,78,74,60,국,수,영,탐(2),25,30,20,25
고려대(세종)1,,,,,,,,,,국,수,영,탐(2),25,43.75,,31.25
고려대(세종)2,,,,,,,,,,국,수,영,탐(2),43.75,25,,31.25
고려대(세종)3,,,,,,,,,,국,수,영,탐(2),37.5,37.5,,25
고려대(세종)4,,,,,,,,,,국,수,영,탐(2),43.75,25,,31.25
고려대(세종)5,,,,,,,,,,국,수,영,탐(2),25,43.75,,31.25
고려대(세종)6,,,,,,,,,,국,수,영,탐(2),25,43.75,,31.25
고려대1,,,,,,,,,,국,수,탐(2),,31.25,37.5,31.25,
고려대2,,,,,,,,,,국,수,탐(2),,35.71,35.71,28.57,
고려대3,,,,,,,,,,국,수,탐(2),,35.71,35.71,28.57,
고려대4,,,,,,,,,,국,수,탐(2),,31.25,37.5,31.25,
고려대5,,,,,,,,,,국,탐(2),,,55.56,44.44,,
고려대6,,,,,,,,,,국,수,탐(2),,35.71,35.71,28.57,
고려대7,,,,,,,,,,국,수,탐(2),,31.25,37.5,31.25,
고려대8,,,,,,,,,,국,수,탐(2),,35.71,35.71,28.57,
고려대9,,,,,,,,,,국,수,탐(2),,35.71,35.71,28.57,
고신대1,,,,,,,,,,국,수,영,탐(1),33.33,33.33,,33.33
고신대2,,,,,,,,,,국,수,영,탐(1),33.33,33.33,,33.33
고신대3,,,,,,,,,,국,수,영,탐(1),33.33,33.33,,33.33
고신대4,,,,,,,,,,국,수,영,탐(2),28.57,42.86,,28.57
고신대5,,,,,,,,,,국,수,영,탐(1),33.33,33.33,,33.33
고신대6,,,,,,,,,,국,수,영,탐(1),33.33,33.33,,33.33
공주교대1,,,,,,,,,,국,수,영,탐(2),33.33,33.33,,33.33
공주대1,100,95,88,76,59,39,22,10,3,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
공주대2,100,95,88,76,59,39,22,10,3,국영탐(1)_1,국영탐(1)_2,수,,33.33,33.33,33.33,
공주대3,100,95,88,76,59,39,22,10,3,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
공주대4,100,95,88,76,59,39,22,10,3,국수영탐(1)_1,국수영탐(1)_2,국수영탐(1)_3,,33.33,33.33,33.33,
공주대5,100,95,88,76,59,39,22,10,3,국영탐(1)_1,국영탐(1)_2,수,,33.33,33.33,33.33,
광운대1,,,,,,,,,,국,수,영,탐(2),25,43.75,,31.25
광운대2,,,,,,,,,,국,수,영,탐(2),25,43.75,,31.25
광운대3,,,,,,,,,,국,영,탐(2),,57.14,,42.86,
광운대4,,,,,,,,,,국,수,영,탐(2),37.5,31.25,,31.25
광운대5,,,,,,,,,,국,수,영,탐(2),37.5,37.5,,25
광주교대1,,,,,,,,,,국,수,영,탐(2),33.33,33.33,,33.33
광주대1,100,95,90,85,80,75,70,65,60,국,수,영,탐(1),31.58,31.58,26.32,10.53
광주여대1,,,,,,,,,,국,수,영,탐(1),33.33,33.33,,33.33
국민대1,,,,,,,,,,국,수,영,탐(2),37.5,37.5,,25
국민대2,,,,,,,,,,국,수,영,탐(2),25,37.5,,37.5
국민대3,,,,,,,,,,국,수,영,탐(2),44.44,33.33,,22.22
국민대4,,,,,,,,,,국,수,영,탐(2),33.33,44.44,,22.22
국민대5,,,,,,,,,,수탐(2)_1,국,영,,50,50,,
국민대6,,,,,,,,,,국,영,탐(2),,50,,50,
국민대7,,,,,,,,,,국,영,,,100,,,
국민대8,,,,,,,,,,국,영,탐(2),,50,,50,
국민대9,,,,,,,,,,국,영,탐(2),,50,,50,
국민대10,,,,,,,,,,국,영,탐(2),,62.5,,37.5,
국민대11,,,,,,,,,,국,영,,,100,,,
국민대12,,,,,,,,,,국,영,탐(2),,60,,40,
군산대1,100,95,90,85,80,75,70,65,60,국수_1,영,탐(2),,40,40,20,
군산대2,100,95,90,85,80,75,70,65,60,국,수,영,탐(2),20,30,30,20
군산대3,100,95,90,85,80,75,70,65,60,국,수,영,탐(2),30,20,30,20
군산대4,100,95,90,85,80,75,70,65,60,국,수,영,탐(2),25,25,30,20
극동대1,100,93,81,64,44,27,15,8,4,국수영_1,국수영_2,탐(1),,35,35,30,
극동대2,100,93,81,64,44,27,15,8,4,국수영_1,국수영_2,탐(1),,35,35,30,
금강대1,100,96,90,86,84,70,56,40,0,국수영_1,국수영_2,탐(1),,35,35,30,
