대학명,모집단위,유형,전형명,기준,컷70,연도,모집인원27,경쟁률26
가톨릭관동대,지리교육과,교과,학생부교과(일반전형),70%컷(최종),2.92,2026,15,6.73
가톨릭관동대,항공교통물류전공,교과,학생부교과(일반전형),70%컷(최종),5.19,2026,17,1.88
가톨릭관동대,AI·소프트웨어융합학부,교과,학생부교과(일반전형),70%컷(최종),4.81,2026,25,1.57
가톨릭관동대,간호학과,교과,학생부교과(일반전형),70%컷(최종),3.04,2026,40,5.78
가톨릭관동대,건축학부,교과,학생부교과(일반전형),70%컷(최종),6,2026,38,3.38
가톨릭관동대,생명과학전공,교과,학생부교과(일반전형),70%컷(최종),4.34,2026,17,1.52
가톨릭관동대,수학교육과,교과,학생부교과(일반전형),70%컷(최종),3.61,2026,26,2
가톨릭관동대,의학과(의예과),교과,학생부교과(일반전형),70%컷(최종),1.1,2026,12,19.78
가톨릭관동대,임상병리학과,교과,학생부교과(일반전형),70%컷(최종),2.9,2026,15,14.6
가톨릭관동대,작업치료학과,교과,학생부교과(일반전형),70%컷(최종),4.48,2026,15,4.73
가톨릭관동대,치위생학과,교과,학생부교과(일반전형),70%컷(최종),3.68,2026,20,8.8
가톨릭관동대,컴퓨터교육과,교과,학생부교과(일반전형),70%컷(최종),4.14,2026,20,4.05
가톨릭관동대,항공운항전공,교과,학생부교과(일반전형),70%컷(최종),5.12,2026,26,4.48
가톨릭관동대,항공정비학전공,교과,학생부교과(일반전형),70%컷(최종),4.72,2026,31,5.92
가톨릭관동대,CG디자인전공,교과,학생부교과(일반전형),70%컷(최종),5.67,2026,26,2.04
가톨릭관동대,실용음악전공,교과,학생부교과(일반전형),70%컷(최종),5.79,2026,16,1.47
가톨릭관동대,[유형1] 자율전공학부,교과,학생부교과(일반전형),70%컷(최종),5.93,2026,162,2.93
가톨릭관동대,경찰학부,종합,학생부종합(일반전형),70%컷(최종),5,2026,5,3.4
가톨릭관동대,국어교육과,종합,학생부종합(일반전형),70%컷(최종),3.7,2026,3,3.67
가톨릭관동대,사회복지학전공,종합,학생부종합(일반전형),70%컷(최종),5.36,2026,5,3.2
가톨릭관동대,역사교육과,종합,학생부종합(일반전형),70%컷(최종),3.42,2026,3,10.33
가톨릭관동대,지리교육과,종합,학생부종합(일반전형),70%컷(최종),3.06,2026,3,4.67
가톨릭관동대,간호학과,종합,학생부종합(일반전형),70%컷(최종),3.16,2026,13,11.17
가톨릭관동대,의학과(의예과),종합,학생부종합(일반전형),70%컷(최종),1.21,2026,5,20.4
가톨릭관동대,임상병리학과,종합,학생부종합(일반전형),70%컷(최종),3.63,2026,4,10.25
가톨릭관동대,작업치료학과,종합,학생부종합(일반전형),70%컷(최종),5.15,2026,5,2.8
가톨릭관동대,치위생학과,종합,학생부종합(일반전형),70%컷(최종),4.67,2026,4,6.2
가톨릭관동대,컴퓨터교육과,종합,학생부종합(일반전형),70%컷(최종),4.4,2026,3,3.67
가톨릭관동대,경영학전공,교과,학생부교과(지역인재전형),70%컷(최종),4.78,2026,6,1.5
가톨릭관동대,경찰학부,교과,학생부교과(지역인재전형),70%컷(최종),4.98,2026,30,2
가톨릭관동대,국어교육과,교과,학생부교과(지역인재전형),70%컷(최종),3.7,2026,4,3.4
가톨릭관동대,미디어콘텐츠전공,교과,학생부교과(지역인재전형),70%컷(최종),4.18,2026,5,4
가톨릭관동대,사회복지학전공,교과,학생부교과(지역인재전형),70%컷(최종),4.08,2026,8,4.11
가톨릭관동대,역사교육과,교과,학생부교과(지역인재전형),70%컷(최종),3.24,2026,7,4.29
가톨릭관동대,영어교육과,교과,학생부교과(지역인재전형),70%컷(최종),4.11,2026,5,1.6
가톨릭관동대,조리외식경영학전공,교과,학생부교과(지역인재전형),70%컷(최종),5.29,2026,10,2
가톨릭관동대,지리교육과,교과,학생부교과(지역인재전형),70%컷(최종),4.08,2026,7,2.43
가톨릭관동대,항공교통물류전공,교과,학생부교과(지역인재전형),70%컷(최종),5.39,2026,4,0.8
가톨릭관동대,AI·소프트웨어융합학부,교과,학생부교과(지역인재전형),70%컷(최종),4.44,2026,5,1
가톨릭관동대,간호학과,교과,학생부교과(지역인재전형),70%컷(최종),3.4,2026,30,4.5
가톨릭관동대,건축학부,교과,학생부교과(지역인재전형),70%컷(최종),4.98,2026,12,3.8
가톨릭관동대,생명과학전공,교과,학생부교과(지역인재전형),70%컷(최종),4.72,2026,4,0.6
가톨릭관동대,수학교육과,교과,학생부교과(지역인재전형),70%컷(최종),3.73,2026,5,3
